Reaction_type,Reactant1_smiles,Reactant1_name,Reactant1_amount,Reactant2_smiles,Reactant2_name,Reactant2_amount,Reactant3_smiles,,Reactant3_amount,Product1_smiles,Product1_name,Product1_yield,Product2_smiles,Product2_yield,Product3_smiles,Product3_yield,Temperature,Mechanical_treatment,Treatment_magnitude,Treatment_duration,URL,Solvent,Catalyst
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Cu+2].[Cl-].[Cl-],copper(II)chloride,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Cl-],cyclopentadienylrhenium(I)chloride,43.12,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Cu+2].[Cl-].[Cl-],copper(II)chloride,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Cl-],cyclopentadienylrhenium(I)chloride,20.46,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Cu+2].[Cl-].[Cl-],copper(II)chloride,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Cl-],cyclopentadienylrhenium(I)chloride,18.56,,,,,,Liquid Assited Grinding,,,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Cu+].[Br-],sodiumbromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,44,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Cu+].[Br-],sodiumbromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,41.8,,,,,,Liquid Assisted Grinding,,,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Cu+].[Br-],copper(I)bromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,51.3,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Cu+].[Br-],copper(I)bromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,47.3,,,,,,Liquid Assisted Grinding,,,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Cu+2].[Br-].[Br-],copper(II)bromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,17.6,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Cu+2].[Br-].[Br-],copper(II)bromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,45.76,,,,,,Liquid Assisted Grinding,,,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Na+].[I-],sodiumiodide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[I-],cyclopentadienylrhenium(I)iodide,71.78,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Na+].[I-],sodiumiodide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[I-],cyclopentadienylrhenium(I)iodide,58.5,,,,,,Liquid Assisted Grinding,,,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Cu+].[I-],copper(I)iodide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[I-],cyclopentadienylrhenium(I)iodide,0,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
